,image,x,y,w,h,label
289,ball0290.jpg,123.08,91.396,61.54,63.364,7
290,ball0291.jpg,123.76,90.029,61.54,63.821,7
291,ball0292.jpg,124.67,88.661,61.54,63.819,7
292,ball0293.jpg,125.81,87.749,62.22,63.821,7
293,ball0294.jpg,127.64,86.838,64.5,63.592,7
294,ball0295.jpg,130.83,86.154,62.45,63.366,7
295,ball0296.jpg,131.74,84.33,62.9,64.27,7
296,ball0297.jpg,134.02,83.191,62.68,65.639,7
297,ball0298.jpg,136.07,82.279,63.59,65.871,7
298,ball0299.jpg,136.98,81.595,62.68,65.185,7
299,ball0300.jpg,136.75,80.912,63.82,64.958,7
300,ball0301.jpg,136.52,80,63.82,65.87,7
301,ball0302.jpg,136.07,80,63.59,65.64,7
302,ball0303.jpg,134.47,80,63.59,66.1,7
303,ball0304.jpg,133.11,79.544,63.59,66.096,7
304,ball0305.jpg,130.6,79.088,62.68,66.782,7
305,ball0306.jpg,128.09,80,62.45,66.32,7
306,ball0307.jpg,125.58,80.912,63.37,66.328,7
307,ball0308.jpg,122.39,82.051,64.28,65.409,7
308,ball0309.jpg,120.34,82.735,64.28,66.555,7
309,ball0310.jpg,117.15,83.875,65.41,65.415,7
310,ball0311.jpg,115.78,83.875,64.96,66.555,7
311,ball0312.jpg,115.56,83.875,64.95,67.005,7
312,ball0313.jpg,116.01,83.875,64.5,66.785,7
313,ball0314.jpg,115.56,83.875,64.95,67.005,7
314,ball0315.jpg,116.24,84.102,65.18,67.688,7
315,ball0316.jpg,115.78,84.33,65.64,67.69,7
316,ball0317.jpg,116.24,85.242,64.73,67.468,7
317,ball0318.jpg,115.56,85.926,64.72,67.694,7
318,ball0319.jpg,114.64,86.61,65.87,67.69,7
319,ball0320.jpg,113.96,87.066,65.64,67.234,7
320,ball0321.jpg,113.5,86.838,65.87,68.152,7
321,ball0322.jpg,113.28,87.066,65.87,67.694,7
322,ball0323.jpg,113.5,87.066,65.19,67.464,7
323,ball0324.jpg,112.59,86.382,65.64,68.148,7
324,ball0325.jpg,111,86.61,65.87,68.15,7
325,ball0326.jpg,110.31,85.698,65.87,68.372,7
326,ball0327.jpg,108.95,85.242,65.86,68.148,7
327,ball0328.jpg,108.49,84.33,65.19,67.92,7
328,ball0329.jpg,106.67,83.191,65.41,67.689,7
329,ball0330.jpg,104.62,82.735,64.72,67.235,7
330,ball0331.jpg,101.88,82.279,64.73,66.551,7
331,ball0332.jpg,97.778,81.595,65.642,67.465,7
332,ball0333.jpg,93.447,81.367,65.183,67.013,7
333,ball0334.jpg,89.801,81.595,63.819,67.005,7
334,ball0335.jpg,95.955,80.228,66.785,66.782,7
335,ball0336.jpg,107.35,80.912,68.83,65.868,7
336,ball0337.jpg,119.66,80.912,66.78,66.098,7
337,ball0338.jpg,127.86,81.14,64.96,65.64,7
338,ball0339.jpg,130.6,82.051,64.04,65.409,7
339,ball0340.jpg,133.33,82.735,63.37,64.505,7
340,ball0341.jpg,129,82.735,64.73,65.865,7
341,ball0342.jpg,118.29,83.875,67.24,66.095,7
342,ball0343.jpg,110.31,85.698,67.47,64.042,7
343,ball0344.jpg,100.97,87.066,67.46,64.504,7
344,ball0345.jpg,93.903,89.801,63.357,63.359,7
345,ball0346.jpg,81.823,91.396,65.867,63.814,7
346,ball0347.jpg,79.316,94.131,61.764,64.049,7
347,ball0348.jpg,74.986,96.638,61.314,63.592,7
348,ball0349.jpg,72.251,98.461,60.169,63.139,7
349,ball0350.jpg,71.795,102.11,59.945,62.9,7
350,ball0351.jpg,71.567,105.53,60.173,62.68,7
351,ball0352.jpg,72.934,108.49,59.946,61.77,7
352,ball0353.jpg,75.897,110.54,59.943,60.4,7
353,ball0354.jpg,79.088,112.14,59.492,59.94,7
354,ball0355.jpg,82.735,113.73,59.485,59.26,7
355,ball0356.jpg,86.838,113.73,57.662,59.95,7
356,ball0357.jpg,91.168,113.28,57.662,58.12,7
357,ball0358.jpg,95.955,112.59,56.295,57.67,7
358,ball0359.jpg,99.373,113.96,56.527,56.3,7
359,ball0360.jpg,102.56,113.05,56.07,57.43,7
360,ball0361.jpg,105.75,113.05,55.39,57.66,7
361,ball0362.jpg,109.86,113.73,54.47,57.44,7
362,ball0363.jpg,112.14,114.87,54.93,56.3,7
363,ball0364.jpg,114.64,114.87,54.25,55.39,7
364,ball0365.jpg,117.15,115.1,53.79,54.7,7
365,ball0366.jpg,119.89,115.1,53.56,54.24,7
366,ball0367.jpg,122.39,115.33,52.43,54.01,7
367,ball0368.jpg,123.99,114.64,52.88,54.93,7
368,ball0369.jpg,125.81,116.24,52.42,53.56,7
369,ball0370.jpg,128.09,115.78,50.37,53.56,7
370,ball0371.jpg,129,117.15,51.74,52.88,7
371,ball0372.jpg,130.37,118.75,50.14,51.51,7
372,ball0373.jpg,131.97,118.75,49.45,50.82,7
373,ball0374.jpg,132.19,119.2,49.46,50.83,7
374,ball0375.jpg,132.88,119.2,49.68,50.6,7
375,ball0376.jpg,134.25,119.2,48.77,50.6,7
376,ball0377.jpg,135.61,119.2,47.87,50.14,7
377,ball0378.jpg,136.98,119.2,48.78,49.23,7
378,ball0379.jpg,139.26,117.83,47.63,49.24,7
379,ball0380.jpg,141.77,118.06,46.72,48.32,7
380,ball0381.jpg,143.59,117.83,46.95,47.87,7
381,ball0382.jpg,145.19,117.83,46.95,47.64,7
382,ball0383.jpg,147.46,117.38,46.27,46.95,7
383,ball0384.jpg,151.11,116.7,46.27,46.49,7
384,ball0385.jpg,153.85,115.78,46.26,46.73,7
385,ball0386.jpg,155.9,114.42,45.81,46.95,7
386,ball0387.jpg,159.54,113.28,46.73,45.35,7
387,ball0388.jpg,164.33,112.14,44.45,45.81,7
388,ball0389.jpg,169.12,111.45,43.76,44.68,7
389,ball0390.jpg,173.45,111,43.76,44.67,7
390,ball0391.jpg,178.23,109.86,43.31,43.99,7
391,ball0392.jpg,180.97,108.72,43.3,43.99,7
392,ball0393.jpg,185.07,107.81,43.31,43.3,7
393,ball0394.jpg,188.95,105.98,43.53,43.99,7
394,ball0395.jpg,191.91,104.62,42.62,43.53,7
395,ball0396.jpg,195.56,104.16,42.62,42.62,7
396,ball0397.jpg,199.66,102.34,42.62,41.71,7
397,ball0398.jpg,202.17,101.42,41.7,41.71,7
398,ball0399.jpg,204.9,100.28,40.8,41.71,7
399,ball0400.jpg,208.09,99.829,40.12,40.341,7
400,ball0401.jpg,210.83,98.006,40.79,41.024,7
401,ball0402.jpg,214.93,96.182,39.88,41.478,7
402,ball0403.jpg,217.44,95.043,39.43,40.797,7
403,ball0404.jpg,219.26,93.447,39.89,41.253,7
404,ball0405.jpg,214.93,94.359,42.16,40.801,7
405,ball0406.jpg,208.55,97.322,42.16,39.658,7
406,ball0407.jpg,204.44,97.55,41.94,42.17,7
407,ball0408.jpg,198.06,100.06,42.17,40.79,7
408,ball0409.jpg,192.59,101.2,42.62,41.48,7
409,ball0410.jpg,188.95,102.11,42.39,41.94,7
410,ball0411.jpg,184.39,103.48,43.53,42.62,7
411,ball0412.jpg,180.06,104.84,44.44,42.85,7
412,ball0413.jpg,177.55,106.21,42.85,42.39,7
413,ball0414.jpg,173.22,107.12,43.3,43.76,7
414,ball0415.jpg,170.03,108.49,43.76,45.58,7
415,ball0416.jpg,168.43,109.17,43.76,46.04,7
416,ball0417.jpg,168.21,110.77,43.98,46.04,7
417,ball0418.jpg,168.21,112.14,44.21,47.18,7
418,ball0419.jpg,165.01,115.56,45.82,46.04,7
419,ball0420.jpg,162.74,116.92,45.58,46.95,7
420,ball0421.jpg,160.91,119.89,46.04,46.95,7
421,ball0422.jpg,157.49,119.89,47.18,49.23,7
422,ball0423.jpg,153.85,122.85,47.63,49.46,7
423,ball0424.jpg,151.79,124.44,48.78,49.01,7
424,ball0425.jpg,149.29,126.27,46.49,48.32,7
425,ball0426.jpg,146.55,127.86,47.41,48.09,7
426,ball0427.jpg,143.82,127.41,49,49.23,7
427,ball0428.jpg,141.77,128.09,48.54,50.14,7
428,ball0429.jpg,139.94,128.77,48.78,50.83,7
429,ball0430.jpg,139.26,129.69,48.77,51.05,7
430,ball0431.jpg,137.44,130.37,49,51.05,7
431,ball0432.jpg,136.3,130.6,49.45,51.28,7
432,ball0433.jpg,136.75,130.6,49.92,51.51,7
433,ball0434.jpg,136.07,129.91,50.37,52.43,7
434,ball0435.jpg,134.47,129.91,51.51,51.74,7
435,ball0436.jpg,134.47,128.09,51.97,53.79,7
436,ball0437.jpg,132.19,129.69,52.43,52.87,7
437,ball0438.jpg,129,129.46,51.74,54.02,7
438,ball0439.jpg,125.81,130.6,51.74,53.79,7
439,ball0440.jpg,121.48,131.51,52.2,54.24,7
440,ball0441.jpg,117.15,132.65,52.65,54.02,7
441,ball0442.jpg,113.96,132.19,52.65,55.16,7
442,ball0443.jpg,110.09,133.33,52.87,55.39,7
443,ball0444.jpg,106.67,133.56,53.1,55.61,7
444,ball0445.jpg,105.75,134.02,52.88,54.47,7
445,ball0446.jpg,107.12,132.19,53.79,54.48,7
446,ball0447.jpg,108.03,129.91,54.25,55.16,7
447,ball0448.jpg,113.5,128.09,54.93,55.61,7
448,ball0449.jpg,118.06,125.36,53.79,54.7,7
449,ball0450.jpg,119.2,122.39,55.61,55.39,7
450,ball0451.jpg,123.3,119.43,54.71,54.93,7
451,ball0452.jpg,124.67,116.92,54.93,56.07,7
452,ball0453.jpg,124.67,115.78,53.79,55.16,7
453,ball0454.jpg,123.99,114.64,54.47,55.39,7
454,ball0455.jpg,122.62,113.5,54.93,56.3,7
455,ball0456.jpg,119.66,113.5,54.02,56.07,7
456,ball0457.jpg,119.2,113.5,54.93,55.39,7
457,ball0458.jpg,117.61,113.5,54.7,55.84,7
458,ball0459.jpg,116.7,114.19,56.98,55.61,7
459,ball0460.jpg,120.11,114.19,54.25,56.52,7
460,ball0461.jpg,119.2,115.1,54.48,55.61,7
461,ball0462.jpg,120.11,115.33,56.07,56.52,7
462,ball0463.jpg,125.81,115.56,54.93,55.61,7
463,ball0464.jpg,129.91,115.1,54.71,55.84,7
464,ball0465.jpg,132.65,114.87,55.61,55.84,7
465,ball0466.jpg,136.3,115.1,55.84,55.84,7
466,ball0467.jpg,137.66,114.87,55.16,56.07,7
467,ball0468.jpg,141.08,115.78,55.62,56.07,7
468,ball0469.jpg,144.96,117.38,54.01,54.02,7
469,ball0470.jpg,146.32,116.92,54.48,54.02,7
470,ball0471.jpg,147.46,116.7,53.57,56.29,7
471,ball0472.jpg,147.92,118.75,52.65,54.24,7
472,ball0473.jpg,146.1,117.83,54.01,54.48,7
473,ball0474.jpg,145.64,117.38,53.11,54.24,7
474,ball0475.jpg,144.27,117.15,52.43,53.56,7
475,ball0476.jpg,142.22,116.01,52.88,54.25,7
476,ball0477.jpg,141.54,115.33,52.65,54.7,7
477,ball0478.jpg,139.94,115.33,51.97,54.7,7
478,ball0479.jpg,138.35,115.56,52.42,54.24,7
479,ball0480.jpg,135.38,115.78,52.2,54.02,7
480,ball0481.jpg,132.65,115.56,52.42,54.24,7
481,ball0482.jpg,130.37,115.78,51.97,53.56,7
